Feature,Primary Source(s),Source Type,External Link(s)
single_tickets_calgary / edmonton,Archtics / Ticketmaster ticket sales by city,Internal (Archtics/Ticketmaster),—
subscription_tickets_calgary / edmonton,Archtics / Ticketmaster subscription ticket redemptions,Internal (Archtics/Ticketmaster),—
total_single_tickets,Derived from internal single-ticket counts,Internal,—
total_subscription_tickets,Derived from internal subscription counts,Internal,—
total_tickets_all,Derived from all internal ticket sales,Internal,—
avg_tickets_per_performance,Internal sales totals + performance count,Internal,—
load_factor,Internal sales totals + venue capacity (Archtics),Internal,—
prior_season_title_sales,Historical Archtics / Ticketmaster data by title/season,Internal (Archtics/Ticketmaster),—
title_sales_trend,Internal historical sales for same title over multiple seasons,Internal,—
first_run_vs_revival_flag,Internal production history (has title appeared before?),Internal,—
weeks_to_80pct_sold,Internal dated sales history (Archtics transactions),Internal (Archtics/Ticketmaster),—
pre_on_sale_demand_proxy,Internal early sales vs capacity (first 48–72 hrs),Internal,—
late_sales_share,Internal sales in final 7 days vs total,Internal,—
channel_mix_distribution,"Archtics / Ticketmaster sales-channel codes (web, phone, etc.)",Internal (Archtics/Ticketmaster),—
group_sales_share,Internal group booking / account-type data,Internal,—
comp_ticket_share,Internal comp/zero-price ticket flags,Internal,—
refund_cancellation_rate,Internal refund/cancellation transaction logs,Internal,—
subscription_mix_ratio,Derived: subscription tickets / total tickets,Internal,—
