title,use,multiplier,score,chartmetric_search_term,notes
A Month in the Country,USE WITH CAUTION,0.25,22.7119863, Frédéric Chopin,Chopin – household classical name.
A Streetcar Named Desire,DO NOT USE,0,0, Peter Salem,Score by Peter Salem; not a public music brand.
Adagio Hammerklavier,USE WITH CAUTION,0.25,23.10410959, Ludwig van Beethoven,Beethoven – household classical name.
Addams Family,USE,1,35.53561644, Vic Mizzy,Strong film/musical brand; recognizable property.
After the Rain,USE WITH CAUTION,0.25,19.62773973, Arvo Pärt,Arvo Pärt – modern classical niche with decent streams.
Afternoon of a Faun,USE WITH CAUTION,0.25,22.51369863, Claude Debussy,Debussy – household classical name.
Agon,USE WITH CAUTION,0.25,19.94143836, Igor Stravinsky,Stravinsky – household classical name.
Aladdin,DO NOT USE,0,0," Joby Talbot (""Aladdin Ballet"")",Ballet score (Talbot) isn’t what the public knows.
Alice in Wonderland,DO NOT USE,0,0," Joby Talbot (""Alice's Adventures in Wonderland"")","Ballet score (Talbot); public recognition is story, not music."
All of Us,USE,1,79.07260274, The Tragically Hip,Uses The Tragically Hip – major Canadian rock band.
Allegro Brillante,USE WITH CAUTION,0.25,22.54554795, Pyotr Ilyich Tchaikovsky,Tchaikovsky – household classical name.
Anastasia,USE WITH CAUTION,0.25,15.30616438, Bohuslav Martinů,"Martinů/Tchaikovsky – classical, not a pop signal."
Angels' Atlas,DO NOT USE,0,0, Owen Belton,Owen Belton + choral works; niche/collage.
Anna Karenina,DO NOT USE,0,0, Ilya Demutsky,"Demutsky – contemporary ballet composer, not public brand."
Apollo,USE WITH CAUTION,0.25,19.94143836, Igor Stravinsky,Stravinsky – household classical name.
Appalachian Spring,USE WITH CAUTION,0.25,18.8119863, Aaron Copland,Copland – very well-known classical but still “art music”.
Approximate Sonata,DO NOT USE,0,0, Thom Willems,Thom Willems – Forsythe’s composer; niche.
Artifact,DO NOT USE,0,0, Thom Willems,Willems + Bach collage; not a clean popularity proxy.
Artifact Suite,DO NOT USE,0,0, Thom Willems,Same as above.
Autobiography,DO NOT USE,0,0, Jlin,Jlin is niche experimental; streams don’t map to ballet audience.
Away We Go,DO NOT USE,0,0, (mixed bill) ,Mixed bill title; no single score.
Balanchine,DO NOT USE,0,0, *no Chartmetric term*,"Choreographer, not a specific ballet."
Ballet BC,DO NOT USE,0,0, *no single artist*,Company.
Ballet Imperial,USE WITH CAUTION,0.25,22.54554795, Pyotr Ilyich Tchaikovsky,Tchaikovsky concerto – household classical name.
Ballet Jazz de Montreal,DO NOT USE,1,88.3890411,Leonard Cohen,Company.
Balletboyz,DO NOT USE,0,0, *no single artist*,Company.
BalletX,DO NOT USE,0,0, *company: not applicable*,Company.
Beauty and the Beast,USE,1,0.661643836, Philip Feeney,Disney/Menken association; very strong music/property brand.
Beethoven,USE WITH CAUTION,0.25,23.10410959, Ludwig van Beethoven,"Generic; classical composer, not title-specific."
Bella Figura,DO NOT USE,0,0, Giovanni Pergolesi / Samuel Barber / Arvo Pärt,Multi-composer collage; no single music popularity signal.
Betroffenheit,DO NOT USE,0,0, Owen Belton,Sound design + niche composer; not a streaming brand.
Billy the Kid,USE WITH CAUTION,0.25,18.8119863, Aaron Copland,Copland – well-known classical.
Birthday Offering,USE WITH CAUTION,0.25,17.73938356, Alexander Glazunov,"Glazunov et al. – classical, but not especially famous."
Black Cake,DO NOT USE,0,0," Handel / Bach (search: ""George Frideric Handel"")",Collage of baroque/other composers.
Blake Works,USE,1,90.54657534, James Blake,James Blake – mainstream recording artist.
Blanche Neige,USE WITH CAUTION,0.25,20.74075342, Gustav Mahler,Uses Mahler – household classical but niche for audiences.
Body and Soul,DO NOT USE,0,0," Sharon Eyal collaborators (search: ""Ori Lichtik"")",Electronic score; composer(s) not a broad public brand.
Botero,DO NOT USE,0,0," Latin classical/folk mix; no single term (use: ""Colombian Classical"")",Production-specific Latin mix; no consistent source.
Brandenburg,USE WITH CAUTION,0.25,23.15308219, Johann Sebastian Bach,Bach – household classical name.
Caravaggio,DO NOT USE,0,0, Bruno Moretti,Bruno Moretti – obscure to public.
Carbon Life,USE,1,94.3739726, Mark Ronson,Mark Ronson/Andrew Wyatt – pop producers with strong profiles.
Carmen,USE WITH CAUTION,0.25,9.610273973, Rodion Shchedrin,"Bizet/Shchedrin – very famous classical, but not pop."
Carmina Burana,USE WITH CAUTION,0.25,19.19794521, Carl Orff,Orff – hugely known classical cantata.
Charlie Chaplin,USE WITH CAUTION,0.25,19.3130137, Charlie Chaplin ,"Film music niche; name recognition, music less so."
Charlotte's Web,DO NOT USE,0,0, *no standard score* (search composer of your production),Children’s ballet; music isn’t a known brand.
Chopiniana,USE WITH CAUTION,0.25,22.7119863, Frédéric Chopin,Chopin – household classical name.
Chroma,USE,1,81.3390411," Joby Talbot (""Chroma"") and The White Stripes",Uses The White Stripes tracks alongside Talbot.
Cinderella,USE WITH CAUTION,0.25,21.17260274, Sergei Prokofiev,Prokofiev – household classical; story does the work.
Complexions,DO NOT USE,0,0, *company: not applicable*,Company.
Concerto,USE WITH CAUTION,0.25,21.17260274, Sergei Prokofiev,Prokofiev piano concerto – classical name.
Concerto Barocco,USE WITH CAUTION,0.25,23.15308219, Johann Sebastian Bach,Bach – household classical name.
Concerto DSCH,USE WITH CAUTION,0.25,21.37945205, Dmitri Shostakovich,Shostakovich – well-known classical composer.
Contact,USE,1,92.97945205," Sting (""Sting"")",Sting / show music – mainstream recording artist.
Coppelia,USE WITH CAUTION,0.25,20.13664384, Léo Delibes,Delibes – classical; recognition limited outside ballet.
Dance Theatre of Harlem,DO NOT USE,0,0, *company: not applicable*,Company.
Dances at a Gathering,USE WITH CAUTION,0.25,22.7119863, Frédéric Chopin,Chopin – household classical.
Dangerous Liaisons,USE WITH CAUTION,0.25,18.47979452, Craig Armstrong,Often Craig Armstrong (film composer) – mild public profile.
Daphnis et Chloe,USE WITH CAUTION,0.25,21.86712329, Maurice Ravel,Ravel – household classical name.
Dark Matters,DO NOT USE,0,0, Owen Belton,Owen Belton – niche.
Death in Venice,USE WITH CAUTION,0.25,19.73253425, Benjamin Britten,Britten – modern classical; niche.
Deep River,DO NOT USE,0,0, Carl Davis (or “Deep River ,Spiritual/collage arrangements; messy signal.
Der Wolf,DO NOT USE,0,0, *use your production composer*,Production-specific score.
deViate,DO NOT USE,0,0, *mixed works: no single term*,"Mixed program/work, not a specific score."
Diavolo,DO NOT USE,0,0, *company: not applicable*,Company.
