Theme,Feature Name,Description,Data Type,Status,Notes / Source System,unit,expected_min,expected_max,used_in_model
Production Attributes,show_title,"Marketing / ticketing title of the production (e.g., Nutcracker, Swan Lake, Alice in Wonderland).",categorical (string),available,From history_city_sales.csv [Show Title]; canonicalise against ticketing system.,,,,
Production Attributes,show_title_id,Internal unique ID for each production title (across seasons).,categorical (ID),to be collected,"Create title dimension, map to ticketing 'production' or 'event' IDs.",,,,
Production Attributes,production_season,"Artistic season label for the production (e.g., 2024–25).",categorical (string),to be collected,From season planning sheets / ticketing season codes.,,,,
Production Attributes,city,"City of performance (Calgary, Edmonton).",categorical,available,Implied by separate columns in history_city_sales.csv; normalise into a City dimension.,,,,
Production Attributes,venue_name,Name of venue where production is performed.,categorical,to be collected,"From ticketing performance setup (e.g., Southern Alberta Jubilee Auditorium).",,,,
Production Attributes,venue_capacity,Total sellable capacity for venue and configuration (per performance).,numeric (int),to be collected,From venue/production setup in ticketing; needed for % capacity features.,seats,500,5000,yes
Production Attributes,performance_count_city,Number of performances of this title in a given city/run.,numeric (int),to be collected,Aggregate from performance-level table in ticketing system.,count,1,20,yes
Production Attributes,performance_count_total,Total number of performances across both cities for the run.,numeric (int),to be collected,Sum performance_count_city across cities.,count,1,40,yes
Production Attributes,run_type,"Production type category (e.g., full-length classical, mixed bill, contemporary narrative, family).",categorical,in development,"Define taxonomy with Artistic & Marketing, tag all historical titles.",,,,
Production Attributes,musical_forces,"Live orchestra, recorded track, guest band, etc.",categorical,in development,From production notes; influences perceived value and pricing.,,,,
Production Attributes,score_familiarity_index,Index for how familiar the music is to a general Alberta audience.,numeric (0–1 or 1–5),in development,"Combine expert scoring with external consumption metrics (Spotify, YouTube).",index,0,1,yes
Production Attributes,story_familiarity_index,"Index of narrative familiarity (e.g., Nutcracker high, new creation lower).",numeric,in development,Expert ratings + Google Trends search interest.,index,0,1,yes
Production Attributes,production_branding_cluster,"Cluster label grouping titles with similar brand positioning (holiday, romantic classic, edgy contemporary, etc.).",categorical,in development,From prior clustering work and marketing segmentation.,,,,
Production Attributes,family_friendliness_flag,Whether production is marketed as suitable for children/families.,boolean,in development,"From marketing copy and series labelling (e.g., family series).",,,,
Production Attributes,run_length_days,Number of days between first and last performance in a city.,numeric (int),to be collected,Derived from performance schedule.,days,1,60,yes
Production Attributes,pricing_tier_structure,"Representation of price zones and spread (e.g., number of tiers, premium differential).",categorical / numeric vector,to be collected,From ticketing price tables.,,,,
Production Attributes,average_base_ticket_price,Average list price for standard adult single tickets (before fees/discounts).,numeric (float),to be collected,From ticketing price tables; summarise per city and title.,CAD,20,300,yes
Production Attributes,discounting_intensity_index,Share of tickets sold on promo/discount vs full price.,numeric (0–1),in development,Requires promo flag at ticket level; aggregate per title/city.,ratio,0,1,yes
Production Attributes,guest_star_flag,"Whether production features a named guest star (dancer, choreographer, band).",boolean,in development,From artistic contracts and marketing materials.,,,,
Production Attributes,world_premiere_flag,Whether this is a world premiere / new creation.,boolean,in development,From artistic archives.,,,,
Production Attributes,co_production_flag,Whether production is a co-production with another company.,boolean,in development,From contracts / artistic notes.,,,,
Historical Sales Trends,single_tickets_calgary,Total single tickets sold for a title in Calgary for a given run.,numeric (int),available,history_city_sales.csv [Single Tickets - Calgary].,tickets,0,50000,yes
Historical Sales Trends,single_tickets_edmonton,Total single tickets sold for a title in Edmonton for a given run.,numeric (int),available,history_city_sales.csv [Single Tickets - Edmonton].,tickets,0,50000,yes
Historical Sales Trends,total_single_tickets,Total single tickets sold across both cities.,numeric (int),available/derived,history_city_sales.csv [Total Single Tickets] or compute from city columns.,tickets,0,100000,target
Historical Sales Trends,total_tickets_all,Total tickets (singles + single tickets) across both cities.,numeric (int),derived,Key demand target candidate; combine single and single ticket totals.,tickets,0,150000,no
Historical Sales Trends,avg_tickets_per_performance,Average tickets sold per performance in a city.,numeric (float),in development,Requires performance_count_city; tickets / performance_count_city.,tickets,0,5000,yes
Historical Sales Trends,load_factor,Percentage of capacity sold (tickets / theoretical capacity).,numeric (0–1),in development,Needs capacity and performance counts; useful for normalisation.,ratio,0,1,yes
Historical Sales Trends,prior_season_title_sales,Lagged total tickets for the same title in prior seasons.,numeric (int),in development,Join by show_title_id and season; used for recurring titles like Nutcracker.,tickets,0,100000,yes
Historical Sales Trends,title_sales_trend,Trend in sales for recurring titles across multiple seasons.,numeric (float),in development,Compute slope via regression over historical seasons.,slope,-10000,10000,yes
Historical Sales Trends,first_run_vs_revival_flag,Flag for first presentation vs revival of a title.,boolean,in development,From artistic archives; interacts with prior sales features.,,,,
Historical Sales Trends,weeks_to_80pct_sold,Weeks before opening when 80% of capacity was sold.,numeric (float),to be collected,Requires dated transaction and on-sale data.,weeks,0,52,yes
Historical Sales Trends,pre_on_sale_demand_proxy,Tickets sold in first 48–72 hours after on-sale as % of run capacity.,numeric (float),to be collected,From transaction timestamps; a leading indicator of demand.,ratio,0,1,yes
Historical Sales Trends,late_sales_share,Share of tickets sold in final 7 days before opening.,numeric (0–1),to be collected,From transactions; useful for behavioural segmentation.,ratio,0,1,yes
Historical Sales Trends,channel_mix_distribution,"Distribution of sales by channel (web, phone, box office, group).",numeric vector,to be collected,From ticketing channel codes; summarise as percentages.,,,,
Historical Sales Trends,group_sales_share,Share of tickets sold via group bookings.,numeric (0–1),to be collected,From group booking flag in ticketing.,ratio,0,1,yes
Historical Sales Trends,comp_ticket_share,Share of complimentary tickets vs paid.,numeric (0–1),to be collected,From comp flag; important for interpreting raw ticket counts.,ratio,0,1,yes
